Date,Close,Change,Pct_Change,Volume,Org_Volume,Foreign_Volume,Foreign_Count,Foreign_Pct
2016-01-22,137000,4500,3.40,261620,11798,73131,36292605,39.25
2016-01-21,132500,5500,4.33,390624,93872,46106,36219474,39.17
2016-01-20,127000,3500,-2.68,346305,-11697,60994,36179083,39.13
2016-01-19,130500,2500,-1.88,268135,-23075,-15452,36125593,39.07
2016-01-18,133000,500,0.38,229574,63691,-36700,36142305,39.09
2016-01-17,133000,500,0.38,229574,63691,-36700,36142305,39.09
2016-01-16,133000,500,0.38,229574,63691,-36700,36142305,39.09
2016-01-15,132500,2000,-1.49,221963,3618,13268,36179005,39.13
2016-01-14,134500,0,0.00,226710,30307,1072,36165737,39.11
2016-01-13,134500,2500,1.89,300276,-7487,116745,36165673,39.11
2016-01-12,132000,5500,4.35,401018,35186,85777,36051340,38.99
2016-01-11,126500,4000,-3.07,232305,30288,-72320,35967849,38.90
2016-01-10,126500,4000,-3.07,232305,30288,-72320,35967849,38.90
2016-01-09,126500,4000,-3.07,232305,30288,-72320,35967849,38.90
2016-01-08,130500,7000,5.67,386726,49315,51540,36042455,38.98
2016-01-07,123500,2500,-1.98,536407,-208983,162807,35993201,38.93
2016-01-06,126000,1000,-0.79,282739,-71272,51352,35828080,38.75
2016-01-05,127000,1000,0.79,401665,34717,-20425,35778260,38.69
2016-01-04,126000,4000,-3.08,302090,-35413,-44017,35790685,38.71
2016-01-03,126000,4000,-3.08,302090,-35413,-44017,35790685,38.71
2016-01-02,126000,4000,-3.08,302090,-35413,-44017,35790685,38.71
2016-01-01,126000,4000,-3.08,302090,-35413,-44017,35790685,38.71
2015-12-31,126000,4000,-3.08,302090,-35413,-44017,35790685,38.71
2015-12-30,130000,3000,-2.26,210167,-48277,27902,35761702,38.68
2015-12-29,133000,1500,1.14,224843,-17211,40166,35735518,38.65
2015-12-28,131500,3500,-2.59,197024,11794,-127,35695352,38.60
2015-12-27,131500,3500,-2.59,197024,11794,-127,35695352,38.60
2015-12-26,131500,3500,-2.59,197024,11794,-127,35695352,38.60
2015-12-25,131500,3500,-2.59,197024,11794,-127,35695352,38.60
2015-12-24,135000,1000,-0.74,221591,31716,-42741,35695479,38.60
2015-12-23,136000,1500,1.12,329325,113605,-22442,35749358,38.66
2015-12-22,134500,1500,1.13,332970,155541,-126653,35810855,38.73
2015-12-21,133000,1500,1.14,271746,60723,-51845,35942191,38.87
2015-12-20,133000,1500,1.14,271746,60723,-51845,35942191,38.87
2015-12-19,133000,1500,1.14,271746,60723,-51845,35942191,38.87
2015-12-18,131500,3500,-2.59,240443,-11541,-40100,35995306,38.93
2015-12-17,135000,2000,1.50,558546,89678,71654,36035406,38.97
2015-12-16,133000,11000,9.02,643505,112701,162512,35964593,38.90
2015-12-15,122000,0,0.00,302395,-5521,56815,35802208,38.72
2015-12-14,122000,5500,-4.31,344887,-47005,-16512,35745393,38.66
2015-12-13,122000,5500,-4.31,344887,-47005,-16512,35745393,38.66
2015-12-12,122000,5500,-4.31,344887,-47005,-16512,35745393,38.66
2015-12-11,127500,3500,2.82,299397,-531,102568,35767017,38.68
2015-12-10,124000,2000,-1.59,320621,-36104,29145,35668867,38.58
2015-12-09,126000,1500,-1.18,189446,-3833,-17025,35637718,38.54
2015-12-08,127500,1500,-1.16,251784,386,-2529,35654743,38.56
2015-12-07,129000,500,-0.39,225703,51730,-21304,35668372,38.57
2015-12-06,129000,500,-0.39,225703,51730,-21304,35668372,38.57
2015-12-05,129000,500,-0.39,225703,51730,-21304,35668372,38.57
2015-12-04,129500,1000,0.78,209865,-3896,37138,35688406,38.60
2015-12-03,128500,1500,1.18,244594,-78749,61510,35641268,38.55
2015-12-02,127000,2000,-1.55,242755,-24210,16695,35579758,38.48
2015-12-01,129000,1500,1.18,399666,23936,-2463,35599834,38.50
2015-11-30,127500,4500,-3.41,476603,15595,-42769,35564526,38.46
2015-11-29,127500,4500,-3.41,476603,15595,-42769,35564526,38.46
2015-11-28,127500,4500,-3.41,476603,15595,-42769,35564526,38.46
2015-11-27,132000,1500,1.15,285540,92229,-34436,35607295,38.51
2015-11-26,130500,500,0.38,213010,26389,9604,35640731,38.54
2015-11-25,130000,0,0.00,371453,61965,26775,35631127,38.53
2015-11-24,130000,5000,4.00,413065,91299,137039,35604352,38.51
2015-11-23,125000,1000,0.81,156743,41397,18098,35467313,38.36
2015-11-22,125000,1000,0.81,156743,41397,18098,35467313,38.36
2015-11-21,125000,1000,0.81,156743,41397,18098,35467313,38.36
2015-11-20,124000,1000,-0.80,215697,50610,28083,35449215,38.34
2015-11-19,125000,4500,3.73,378012,175080,24550,35421132,38.31
2015-11-18,120500,500,-0.41,240011,48519,-25305,35396582,38.28
2015-11-17,121000,4000,3.42,332232,150655,-8594,35421887,38.31
2015-11-16,117000,3000,2.63,349430,52509,63684,35430481,38.32
2015-11-15,117000,3000,2.63,349430,52509,63684,35430481,38.32
2015-11-14,117000,3000,2.63,349430,52509,63684,35430481,38.32
2015-11-13,114000,1500,-1.30,295254,4662,20559,35366797,38.25
2015-11-12,115500,1500,1.32,195427,-36545,63413,35356238,38.24
2015-11-11,114000,2000,-1.72,323920,-63047,1375,35291555,38.17
2015-11-10,116000,0,0.00,197531,22786,30107,35290180,38.17
2015-11-09,116000,2000,-1.69,203066,-51811,33644,35260073,38.13
2015-11-08,116000,2000,-1.69,203066,-51811,33644,35260073,38.13
2015-11-07,116000,2000,-1.69,203066,-51811,33644,35260073,38.13
